id;codigo;nombre;codigo_unificado;departamento_codigo;active;created_date;published_date;departamento_id
1;001;Medellin;05001;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
2;002;Abejorral;05002;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
4;021;Alejandria;05021;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
5;030;Amaga;05030;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
6;031;Amalfi;05031;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
7;034;Andes;05034;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
8;036;Angelopolis;05036;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
9;038;Angostura;05038;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
10;040;Anori;05040;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
11;042;Santafe De Antioquia;05042;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
12;044;Anza;05044;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
13;045;Apartado;05045;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
14;051;Arboletes;05051;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
15;055;Argelia;05055;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
16;059;Armenia;05059;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
17;079;Barbosa;05079;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
18;086;Belmira;05086;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
19;088;Bello;05088;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
20;091;Betania;05091;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
21;093;Betulia;05093;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
22;101;Ciudad Bolivar;05101;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
23;107;Briceño;05107;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
24;113;Buritica;05113;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
25;120;Caceres;05120;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
26;125;Caicedo;05125;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
27;129;Caldas;05129;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
28;134;Campamento;05134;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
29;138;Cañasgordas;05138;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
30;142;Caracoli;05142;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
31;145;Caramanta;05145;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
32;147;Carepa;05147;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
33;148;El Carmen De Viboral;05148;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
34;150;Carolina;05150;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
35;154;Caucasia;05154;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
36;172;Chigorodo;05172;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
37;190;Cisneros;05190;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
38;197;Cocorna;05197;05;1;2020-06-04 14:45:30.880;2020-06-04 14:45:30.880;1
