MetodologiaId;MetodologiaCodigo;MetodologiaNombre;Activo;FechaRegistro;FechaModifica
1;1;Educación Tradicional;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
2;2;Escuela nueva;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
3;3;Post primaria;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
4;4;Telesecundaria;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
5;5;SER;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
6;6;CAFAM;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
7;7;SAT;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
8;8;Etnoeducación;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
9;9;Aceleración del Aprendizaje;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
10;10;Programa para Jóvenes en extraedad y Adultos (Decreto 3011);1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
11;11;Preescolar Escolarizado;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
12;12;Preescolar No Escolarizado/Semiescolarizado;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
13;13;SAT presencial;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
