EtniaId;EtniaCodigo;EtniaNombre;Activo;FechaRegistro;FechaModifica
1;00;No Aplica;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
2;01;Achagua;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
3;02;Amorúa;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
4;03;Andoque o Andoke;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
5;04;Arhuaco (IJKA);1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
6;05;Awa (CUAIKER);1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
7;06;Barea;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
8;07;Barazana;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
9;08;Barí (Motilón);1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
10;09;Betoye;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
11;10;Bora;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
12;11;Cabiyari o Kawiyarí;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
13;12;Carapana;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
14;13;Carijona o Karijona;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
15;14;Chimila (ETTE E´ NEKA);1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
16;15;Chiricoa;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
17;16;Cocama;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
18;17;Coconuco;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
19;18;Cofán o Kofán;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
20;19;Pijaos;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
21;20;Cubeo o Kubeo;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
22;200;Negritudes;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
23;21;Cuiba o Kuiba;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
24;22;Curripaco o Kurripako;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
25;23;Desano;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
26;24;Dujos;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
27;26;Embera Catio o Embera Katío;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
28;27;Embera Chami;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
29;28;Eperara Siapidara;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
