IdiomaId;IdiomaCodigo;IdiomaNombre;Activo;FechaRegistro;FechaModifica
1;0;No Aplica;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
2;1;Inglés;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
3;10;Francés-Italiano;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
4;11;Francés-Alemán;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
5;12;Italiano-Alemán;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
6;2;Francés;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
7;3;Italiano;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
8;4;Alemán;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
9;5;Hebreo;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
10;6;Inglés-Francés;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
11;7;Inglés-Italiano;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
12;8;Inglés-Alemán;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
13;9;Inglés-Hebreo;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
